ticker,name,exchange,cik,start_date,end_date,mapping_source,mapping_priority
DTV,DIRECTV,NYSE,0000944868,1990-01-01,2015-07-31,sec_manual_historical_bridge,0
DYN,DYNEGY INC,NYSE,0001379895,1990-01-01,2012-12-31,sec_manual_historical_bridge,0
CPWR,COMPUWARE CORP,NASDAQ,0000859014,1990-01-01,2014-12-31,sec_manual_historical_bridge,0
TMC,TIMES MIRROR CO,NYSE,0000925260,1990-01-01,2000-06-30,sec_manual_historical_bridge,0
STI,SUNTRUST BANKS INC,NYSE,0000750556,1990-01-01,2019-12-31,sec_manual_historical_bridge,0
TE,TECO ENERGY INC,NYSE,0000350563,1990-01-01,2016-07-31,sec_manual_historical_bridge,0
MON,MONSANTO CO /NEW/,NYSE,0001110783,2000-01-01,2018-06-30,sec_manual_historical_bridge,0
SNDK,SANDISK CORP,NASDAQ,0001000180,1990-01-01,2016-05-31,sec_manual_historical_bridge,0
ADS,ALLIANCE DATA SYSTEMS CORP,NYSE,0001101215,2005-01-01,2020-06-30,sec_manual_historical_bridge,0
AKS,AK STEEL HOLDING CORP,NYSE,0000918160,2005-01-01,2011-12-31,sec_manual_historical_bridge,0
ANDV,ANDEAVOR,NYSE,0000050104,2005-01-01,2018-10-31,sec_manual_historical_bridge,0
ANR,ALPHA NATURAL RESOURCES INC,NYSE,0001310243,2005-01-01,2012-10-31,sec_manual_historical_bridge,0
APOL,APOLLO EDUCATION GROUP INC,NASDAQ,0000929887,2005-01-01,2013-07-31,sec_manual_historical_bridge,0
ARG,AIRGAS INC,NYSE,0000804212,2005-01-01,2016-05-31,sec_manual_historical_bridge,0
AVP,AVON PRODUCTS INC,NYSE,0000008868,2005-01-01,2015-03-31,sec_manual_historical_bridge,0
BCR,C R BARD INC,NYSE,0000009892,2005-01-01,2018-01-31,sec_manual_historical_bridge,0
BHI,BAKER HUGHES INC,NYSE,0000808362,2005-01-01,2017-07-31,sec_manual_historical_bridge,0
BJS,BJ SERVICES CO,NYSE,0000864328,2005-01-01,2010-04-30,sec_manual_historical_bridge,0
BRCM,BROADCOM CORP,NASDAQ,0001054374,2005-01-01,2016-02-29,sec_manual_historical_bridge,0
BXLT,BAXALTA INC,NYSE,0001620546,2005-01-01,2016-06-30,sec_manual_historical_bridge,0
CCE,COCA-COLA ENTERPRISES INC,NYSE,0000804055,2005-01-01,2016-05-31,sec_manual_historical_bridge,0
CELG,CELGENE CORP,NASDAQ,0000816284,2005-01-01,2019-11-30,sec_manual_historical_bridge,0
CEPH,CEPHALON INC,NASDAQ,0000873364,2005-01-01,2011-10-31,sec_manual_historical_bridge,0
CMCSK,COMCAST CORP,NASDAQ,0001166691,2005-01-01,2015-12-31,sec_manual_historical_bridge,0
CPGX,COLUMBIA PIPELINE GROUP INC,NYSE,0001629995,2005-01-01,2016-07-31,sec_manual_historical_bridge,0
CSC,COMPUTER SCIENCES CORP,NYSE,0000023082,2005-01-01,2015-12-31,sec_manual_historical_bridge,0
CVC,CABLEVISION SYSTEMS CORP,NYSE,0001053112,2005-01-01,2016-06-30,sec_manual_historical_bridge,0
DF,DEAN FOODS CO,NYSE,0000931336,2005-01-01,2013-05-31,sec_manual_historical_bridge,0
DISCA,DISCOVERY INC,NASDAQ,0001437107,2005-01-01,2022-04-30,sec_manual_historical_bridge,0
DISCK,DISCOVERY INC,NASDAQ,0001437107,2005-01-01,2022-04-30,sec_manual_historical_bridge,0
DNR,DENBURY RESOURCES INC,NYSE,0000945764,2005-01-01,2015-03-31,sec_manual_historical_bridge,0
DWDP,DOWDUPONT INC,NYSE,0001666700,2005-01-01,2019-06-30,sec_manual_historical_bridge,0
EK,EASTMAN KODAK CO,NYSE,0000031235,2005-01-01,2010-12-31,sec_manual_historical_bridge,0
ESV,ENSCO PLC,NYSE,0000314808,2005-01-01,2016-03-31,sec_manual_historical_bridge,0
FII,FEDERATED INVESTORS INC,NYSE,0001056288,2005-01-01,2013-01-31,sec_manual_historical_bridge,0
FRC,FIRST REPUBLIC BANK,NYSE,0001132979,2005-01-01,2023-05-31,sec_manual_historical_bridge,0
FTR,FRONTIER COMMUNICATIONS CORP,NYSE,0000020520,2005-01-01,2017-03-31,sec_manual_historical_bridge,0
GAS,AGL RESOURCES INC,NYSE,0001004155,2005-01-01,2016-07-31,sec_manual_historical_bridge,0
GGP,GENERAL GROWTH PROPERTIES INC,NYSE,0001496048,2005-01-01,2018-08-31,sec_manual_historical_bridge,0
GMCR,GREEN MOUNTAIN COFFEE ROASTERS INC,NASDAQ,0000909954,2005-01-01,2016-03-31,sec_manual_historical_bridge,0
HCBK,HUDSON CITY BANCORP INC,NASDAQ,0000921847,2005-01-01,2015-11-30,sec_manual_historical_bridge,0
HNZ,H J HEINZ CO,NYSE,0000046640,2005-01-01,2013-06-30,sec_manual_historical_bridge,0
IGT,INTERNATIONAL GAME TECHNOLOGY,NYSE,0000353944,2005-01-01,2014-06-30,sec_manual_historical_bridge,0
JDSU,JDS UNIPHASE CORP,NASDAQ,0000912093,2005-01-01,2013-12-31,sec_manual_historical_bridge,0
JNS,JANUS CAPITAL GROUP INC,NYSE,0001065865,2005-01-01,2011-11-30,sec_manual_historical_bridge,0
JOY,JOY GLOBAL INC,NYSE,0000801898,2005-01-01,2015-10-31,sec_manual_historical_bridge,0
KFT,KRAFT FOODS INC,NYSE,0001103982,2005-01-01,2012-10-31,sec_manual_historical_bridge,0
LLTC,LINEAR TECHNOLOGY CORP,NASDAQ,0000791907,2005-01-01,2017-03-31,sec_manual_historical_bridge,0
LM,LEGG MASON INC,NYSE,0000704051,2005-01-01,2016-12-31,sec_manual_historical_bridge,0
LVLT,LEVEL 3 COMMUNICATIONS INC,NYSE,0000794323,2005-01-01,2017-10-31,sec_manual_historical_bridge,0
LXK,LEXMARK INTERNATIONAL INC,NYSE,0001001288,2005-01-01,2012-10-31,sec_manual_historical_bridge,0
MIL,MILLIPORE CORP,NYSE,0000066479,2005-01-01,2010-07-31,sec_manual_historical_bridge,0
MWW,MONSTER WORLDWIDE INC,NYSE,0001020416,2005-01-01,2011-12-31,sec_manual_historical_bridge,0
NOVL,NOVELL INC,NASDAQ,0000758004,2005-01-01,2011-04-30,sec_manual_historical_bridge,0
NVLS,NOVELLUS SYSTEMS INC,NASDAQ,0000836106,2005-01-01,2012-06-30,sec_manual_historical_bridge,0
NYX,NYSE EURONEXT,NYSE,0001368007,2005-01-01,2013-11-30,sec_manual_historical_bridge,0
PCP,PRECISION CASTPARTS CORP,NYSE,0000079958,2005-01-01,2016-02-29,sec_manual_historical_bridge,0
RAI,REYNOLDS AMERICAN INC,NYSE,0001275283,2005-01-01,2017-07-31,sec_manual_historical_bridge,0
RDC,ROWAN COMPANIES PLC,NYSE,0000085408,2005-01-01,2014-08-31,sec_manual_historical_bridge,0
RHT,RED HAT INC,NYSE,0001087423,2005-01-01,2019-07-31,sec_manual_historical_bridge,0
RTN,RAYTHEON CO,NYSE,0001047122,2005-01-01,2020-04-30,sec_manual_historical_bridge,0
RX,IMS HEALTH INC,NYSE,0001058083,2005-01-01,2010-02-28,sec_manual_historical_bridge,0
SBNY,SIGNATURE BANK,NASDAQ,0001288784,2005-01-01,2023-03-31,sec_manual_historical_bridge,0
SCG,SCANA CORP,NYSE,0000754737,2005-01-01,2019-01-31,sec_manual_historical_bridge,0
SIAL,SIGMA-ALDRICH CORP,NASDAQ,0000090185,2005-01-01,2015-11-30,sec_manual_historical_bridge,0
STJ,ST JUDE MEDICAL INC,NYSE,0000203077,2005-01-01,2017-01-31,sec_manual_historical_bridge,0
SVU,SUPERVALU INC,NYSE,0000095521,2005-01-01,2012-04-30,sec_manual_historical_bridge,0
TSS,TOTAL SYSTEM SERVICES INC,NYSE,0000721683,2005-01-01,2019-09-30,sec_manual_historical_bridge,0
TYC,TYCO INTERNATIONAL LTD,NYSE,0000833444,2005-01-01,2016-09-30,sec_manual_historical_bridge,0
VIAB,VIACOM INC,NASDAQ,0001339947,2005-01-01,2019-12-31,sec_manual_historical_bridge,0
WCG,WELLCARE HEALTH PLANS INC,NYSE,0001279363,2005-01-01,2020-01-31,sec_manual_historical_bridge,0
WFM,WHOLE FOODS MARKET INC,NASDAQ,0000865436,2005-01-01,2017-08-31,sec_manual_historical_bridge,0
WYN,WYNDHAM WORLDWIDE CORP,NYSE,0001361658,2005-01-01,2018-05-31,sec_manual_historical_bridge,0
XL,XL GROUP LTD,NYSE,0000875159,2005-01-01,2018-09-30,sec_manual_historical_bridge,0
YHOO,YAHOO INC,NASDAQ,0001011006,2005-01-01,2017-06-30,sec_manual_historical_bridge,0
